importid,_id,point_1_geo,point_1_name,point_1_city,point_1_postal_code,point_1_street,point_1_street_number,point_1_country,point_2_geo,point_2_name,point_2_street,point_2_postal_code,point_2_country,point_2_street_number,point_2_city,ndt_in_kmh,rba_id,organisation,duration_in_sec,road_type,report_id,distance_in_meters,report_name
115,371,0101000020E6100000009A082765962440647E5913711D4C40,4357,Ega,8250,Grenåvej,503,Denmark,0101000020E610000080DFDC270C8E2440A5261DFF161B4C40,4353,Grenåvej,8250,Denmark,481,"""Ega""",63,192368,"""COWI""",131,"""MAJOR_ROAD""",190421,2279,"""AAR_BT_0279 4357 4353"""
116,372,0101000020E610000080DFDCF52E8E2440141A5E29141B4C40,4353,Ega,8250,Grenåvej,481,Denmark,0101000020E6100000009A084781962440044E28B56F1D4C40,4357,Grenåvej,8250,Denmark,534,"""Ega""",59,192370,"""COWI""",140,"""MAJOR_ROAD""",190447,2282,"""AAR_BT_0280 4353 4357"""
117,373,0101000020E610000080DFDC270C8E2440A5261DFF161B4C40,4353,Ega,8250,Grenåvej,481,Denmark,0101000020E610000000132A34CF8824400BBEBD34821A4C40,4569,Grenåvej,8250,Denmark,481,"""Ega""",51,192372,"""COWI""",58,"""MAJOR_ROAD""",190475,829,"""AAR_BT_0281 4353 4569"""
118,374,0101000020E610000000132AACDE8824400D7CA67D7E1A4C40,4569,Ega,8250,Grenåvej,440,Denmark,0101000020E610000080DFDCF52E8E2440141A5E29141B4C40,4353,Grenåvej,8250,Denmark,481,"""Ega""",57,192374,"""COWI""",53,"""MAJOR_ROAD""",190501,838,"""AAR_BT_0282 4569 4353"""
119,375,0101000020E610000000132A34CF8824400BBEBD34821A4C40,4569,Ega,8250,Grenåvej,0,Denmark,0101000020E610000000999D4CD98424409DAC28323C1A4C40,4578,Grenåvej,8250,Denmark,425,"""Ega""",51,192376,"""COWI""",38,"""MAJOR_ROAD""",190529,534,"""AAR_BT_0283 4569 4578"""
120,376,0101000020E610000000999D3DE8842440B2E68BC5371A4C40,4578,Ega,8250,Grenåvej,402,Denmark,0101000020E610000000132AACDE8824400D7CA67D7E1A4C40,4569,Grenåvej,8250,Denmark,440,"""Ega""",51,192378,"""COWI""",38,"""MAJOR_ROAD""",190555,535,"""AAR_BT_0284 4578 4569"""
121,377,0101000020E610000000999D4CD98424409DAC28323C1A4C40,4578,Ega,8250,Grenåvej,425,Denmark,0101000020E6100000C0287A81598024409D18854FF0194C40,4565,Grenåvej,8240,Denmark,337,"""Risskov""",57,192380,"""COWI""",38,"""MAJOR_ROAD""",190583,602,"""AAR_BT_0285 4578 4565"""
122,378,0101000020E6100000C0287A0A6780244050D0D6E2EB194C40,4565,Risskov,8240,Ålykkevej,41,Denmark,0101000020E610000000999D3DE8842440B2E68BC5371A4C40,4578,Grenåvej,8250,Denmark,402,"""Ega""",60,192382,"""COWI""",36,"""MAJOR_ROAD""",190609,602,"""AAR_BT_0286 4565 4578"""
123,238,0101000020E6100000809F72A8505F2440A1337893FA144C40,3193,Aarhus,8210,Vestre Ringgade,53,Denmark,0101000020E610000000FE2AF9986324407614C876AB154C40,3192,Vestre Ringgade,8000,Denmark,210,"""Aarhus""",42,182224,"""COWI""",69,"""MAJOR_ROAD""",180952,801,"""AAR_BT_0145 3193 3192"""
124,239,0101000020E6100000809F72FF265F2440820B19F3FC144C40,3193,Aarhus,8210,Vestre Ringgade,53,Denmark,0101000020E610000000C7BB97855D24405ACF108E59144C40,3194,Vestre Ringgade,8000,Denmark,45,"""Aarhus""",48,182226,"""COWI""",45,"""MAJOR_ROAD""",180980,602,"""AAR_BT_0146 3193 3194"""
125,240,0101000020E610000000C7BBDBAA5D2440957F989A59144C40,3194,Aarhus,8000,Vestre Ringgade,70,Denmark,0101000020E6100000809F72A8505F2440A1337893FA144C40,3193,Vestre Ringgade,8210,Denmark,53,"""Aarhus""",44,182228,"""COWI""",49,"""MAJOR_ROAD""",181006,595,"""AAR_BT_0147 3194 3193"""
126,241,0101000020E610000000C7BB97855D24405ACF108E59144C40,3194,Aarhus,8000,Vestre Ringgade,45,Denmark,0101000020E6100000802B68E27F5D244035F2917FD6134C40,3195,Vestre Ringgade,8000,Denmark,41,"""Aarhus""",42,182230,"""COWI""",38,"""MAJOR_ROAD""",181034,447,"""AAR_BT_0148 3194 3195"""
127,379,0101000020E6100000C0287A81598024409D18854FF0194C40,4565,Risskov,8240,Grenåvej,337,Denmark,0101000020E6100000C02B493AD77B2440CCA609F4AB194C40,4567,Grenåvej,8240,Denmark,337,"""Risskov""",53,192384,"""COWI""",40,"""MAJOR_ROAD""",190637,592,"""AAR_BT_0287 4565 4567"""
128,380,0101000020E6100000C02B49FEE57B2440464C2BE5A7194C40,4567,Risskov,8240,Grenåvej,41,Denmark,0101000020E6100000C0287A0A6780244050D0D6E2EB194C40,4565,Ålykkevej,8240,Denmark,41,"""Risskov""",58,192386,"""COWI""",37,"""MAJOR_ROAD""",190663,591,"""AAR_BT_0288 4567 4565"""
129,381,0101000020E6100000C02B493AD77B2440CCA609F4AB194C40,4567,Risskov,8240,Grenåvej,0,Denmark,0101000020E6100000001406390A752440A25186AF4F194C40,4572,Grenåvej,8240,Denmark,0,"""Risskov""",53,192388,"""COWI""",60,"""MAJOR_ROAD""",190691,881,"""AAR_BT_0289 4567 4572"""
130,382,0101000020E61000000014063310752440241B72A74C194C40,4572,Risskov,8240,Grenåvej,0,Denmark,0101000020E6100000C02B49FEE57B2440464C2BE5A7194C40,4567,Grenåvej,8240,Denmark,0,"""Risskov""",56,192390,"""COWI""",57,"""MAJOR_ROAD""",190717,883,"""AAR_BT_0290 4572 4567"""
131,383,0101000020E6100000001406390A752440A25186AF4F194C40,4572,Risskov,8240,Grenåvej,0,Denmark,0101000020E610000000E067CF1070244099903B86CB184C40,4581,Grenåvej,8240,Denmark,0,"""Risskov""",53,192392,"""COWI""",55,"""MAJOR_ROAD""",190744,813,"""AAR_BT_0291 4572 4581"""
132,384,0101000020E610000000E0670E2C7024402DB4BFE9CA184C40,4581,Risskov,8240,Grenåvej,0,Denmark,0101000020E61000000014063310752440241B72A74C194C40,4572,Grenåvej,8240,Denmark,0,"""Risskov""",59,192394,"""COWI""",49,"""MAJOR_ROAD""",190770,797,"""AAR_BT_0292 4581 4572"""
133,385,0101000020E610000000A3CBABD1852440505B33EEFA1E4C40,4355,Hjortshøj,8530,Mejlbyvej,285,Denmark,0101000020E6100000001F112118892440D1E0E1892F1C4C40,4352,Mejlbyvej,8250,Denmark,58,"""Ega""",53,192396,"""COWI""",169,"""MAJOR_ROAD""",190799,2502,"""AAR_BT_0293 4355 4352"""
134,386,0101000020E6100000001F112118892440D1E0E1892F1C4C40,4352,Ega,8250,Mejlbyvej,58,Denmark,0101000020E610000000A3CBADDE852440E4D93D9DFB1E4C40,4355,Mejlbyvej,8530,Denmark,285,"""Hjortsh\u00f8j""",51,192398,"""COWI""",176,"""MAJOR_ROAD""",190825,2502,"""AAR_BT_0294 4352 4355"""
135,387,0101000020E6100000001F112118892440D1E0E1892F1C4C40,4352,Ega,8250,Mejlbyvej,58,Denmark,0101000020E6100000002CB767FE892440FFC80976FB1A4C40,4356,Mejlbyvej,8250,Denmark,2B,"""Ega""",50,192400,"""COWI""",80,"""MAJOR_ROAD""",190853,1107,"""AAR_BT_0295 4352 4356"""
136,388,0101000020E6100000002CB744128A24401A969AB4FB1A4C40,4356,Ega,8250,Mejlbyvej,4,Denmark,0101000020E6100000001F112118892440D1E0E1892F1C4C40,4352,Mejlbyvej,8250,Denmark,58,"""Ega""",49,192402,"""COWI""",81,"""MAJOR_ROAD""",190879,1109,"""AAR_BT_0296 4356 4352"""
137,242,0101000020E6100000802B686A9D5D244091245AF0D6134C40,3195,Aarhus,8000,Vestre Ringgade,70,Denmark,0101000020E610000000C7BBDBAA5D2440957F989A59144C40,3194,Vestre Ringgade,8000,Denmark,70,"""Aarhus""",42,182232,"""COWI""",38,"""MAJOR_ROAD""",181060,445,"""AAR_BT_0149 3195 3194"""
138,243,0101000020E6100000802B68E27F5D244035F2917FD6134C40,3195,Aarhus,8000,Vestre Ringgade,41,Denmark,0101000020E6100000002829AEF35D2440D015F1E42C134C40,3196,Søndre Ringgade,8000,Denmark,41,"""Aarhus""",49,182234,"""COWI""",43,"""MAJOR_ROAD""",181088,580,"""AAR_BT_0150 3195 3196"""
139,244,0101000020E61000000028293C0B5E2440315055372E134C40,3196,Aarhus,8000,Søndre Ringgade,0,Denmark,0101000020E6100000802B686A9D5D244091245AF0D6134C40,3195,Vestre Ringgade,8000,Denmark,0,"""Aarhus""",41,182236,"""COWI""",51,"""MAJOR_ROAD""",181114,577,"""AAR_BT_0151 3196 3195"""
140,245,0101000020E6100000002829AEF35D2440D015F1E42C134C40,3196,Aarhus,8000,Søndre Ringgade,0,Denmark,0101000020E6100000C095094F9F5F244029385D48A4124C40,3197,Søndre Ringgade,8000,Denmark,63,"""Aarhus""",49,182238,"""COWI""",37,"""MAJOR_ROAD""",181142,507,"""AAR_BT_0152 3196 3197"""
